"id";"code";"d1";"d2";"d3";"d4";"d5";"d6";"d7";"d8"
1005;"航标控股 ";"-158.4170";"-412.2770";"-58.5850";"-349.6010";"74.0870";"1.1880";"78.0590";"165.8800"
1006;"中国中石控股";"-6.3960";"-4.5580";"41.4650";"3.9320";"-22.8260";"-21.7820";"10.3280";"-22.5420"
1007;"泰山石化";"-647.3390";"-263.6300";"-66.4870";"1889.8400";"1360.6380";"-241.7810";"-161.8910";"3779.3740"
1008;"华润燃气";"2114.4770";"2647.7440";"3653.9940";"1956.9840";"3289.3990";"2837.9100";"1557.0040";"2481.6280"
1009;"麦盛资本";"-164.4890";"-183.8840";"-390.1900";"-419.1510";"-154.2050";"-137.6600";"-11.1590";"-184.0250"
1010;"京维集团";"-19.8110";"-6.4190";"-7.9790";"-90.7240";"-44.4010";"20.9220";"-33.8420";"-101.1010"
1011;"伟禄集团";"343.9920";"84.2730";"80.0970";"93.2540";"81.6890";"32.4270";"-10.0850";"-12.4440"
1012;"中国恒石";"108.7020";"214.0490";"104.7000";"257.7870";"112.2000";"130.1600";"181.9770";"131.7890"
1013;"皇朝家俬";"13.9240";"13.1030";"46.8770";"43.2040";"-97.4630";"10.7940";"-85.9010";"-151.6460"
1014;"中远海运港口";"168.9880";"69.2270";"512.4540";"215.8470";"451.8960";"384.7120";"171.9480";"109.0600"
1015;"美联集团";"150.4080";"193.4520";"115.6670";"10.5490";"-134.4160";"-99.4860";"32.3530";"63.9750"
1016;"天臣控股";"199.5120";"7.0750";"6.0210";"19.0960";"5.3460";"28.2480";"65.1710";"10.2190"
1017;"普天电缆";"7.2166";"-0.5143";"30.3254";"-16.1033";"-12.7228";"-40.6283";"-13.2217";"-29.5044"
1018;"广南(集团)";"73.6890";"65.7970";"45.6890";"108.4840";"36.0610";"66.2850";"54.0150";"144.8950"
1019;"中信资源";"529.1250";"518.3150";"185.0220";"362.9850";"102.0070";"-6104.9090";"-850.3450";"223.8300"
1020;"同方泰德";"72.5090";"63.9890";"259.3580";"234.1270";"778.9190";"62.1720";"184.5100";"9.7990"
1021;"上置集团";"82.4090";"622.7490";"690.5430";"89.8040";"-1899.4120";"231.7600";"-261.6460";"-105.9540"
1022;"五矿资源";"128.7000";"17.8000";"147.1000";"-152.7000";"-92.5000";"-1026.5000";"-46.2000";"103.8000"
1023;"克莉丝汀";"-115.5550";"-128.6540";"-66.7420";"-121.2100";"-64.2810";"-148.3510";"-85.4410";"-150.7850"
1024;"比亚迪";"479.0990";"605.7950";"102.4250";"4066.4780";"2791.4350";"3664.1260";"1722.9140";"850.7080"
1025;"利福国际";"882.8540";"1720.2560";"3299.4880";"587.0300";"1590.4300";"2143.9940";"1914.3920";"1171.5510"
1026;"万保刚集团";"-17.1320";"-8.2400";"-3.7630";"6.5360";"3.7660";"2.1110";"7.7890";"3.1940"
